Word,Role,Class,es,fr,de,it,pt,Cognate density,Homograph flag
water,item,substance / mass noun,agua,eau,Wasser,acqua,água,medium,—
brother,item,kinship / relational,hermano,frère,Bruder,fratello,irmão,medium,—
stone,item,substance / mass noun,piedra,pierre,Stein,pietra,pedra,medium-high,fr:pierre = proper name
fear,item,abstract / emotion,miedo,peur,Angst,paura,medo,low,—
dog,item,animate / countable,perro,chien,Hund,cane,cão,low,it:cane (English: walking stick)
bread,item,substance / artifact,pan,pain,Brot,pane,pão,medium-high,"es:pan, fr:pain, it:pane (English nouns)"
chair,control,artifact / countable,silla,chaise,Stuhl,sedia,cadeira,low-medium,—
window,control,artifact / countable,ventana,fenêtre,Fenster,finestra,janela,medium,—
bird,control,animate / countable,pájaro,oiseau,Vogel,uccello,pássaro,low,—
