Item,Colliding token(s),Clean subset,"Pre-screening pooled median (L0–8, all 5)",Screened (Table 4) median,Effect
bread,"es:pan, fr:pain, it:pane","de:Brot, pt:pão",509,17 (k = 2),"Homograph translations collide with English nouns (cooking pan, suffering, window pane). Per-translation early-band medians: pan = 15,033; pain = 3,924; pane = 7,826; Brot = 20; pão = 16. Without screening, the homographs dominate the pooled median; the Table 4 value uses the clean (de:Brot, pt:pão) subset."
dog,it:cane,"es:perro, fr:chien, de:Hund, pt:cão",80,39 (k = 4),"it:cane collides with the English noun ""cane"" (walking stick). Per-translation early-band medians: cane = 95,313; perro = 37; chien = 18; Hund = 2,977; cão = 40. Without screening, cane lifts the pooled median; the Table 4 value drops cane and pools the other four."
