Item,k translations (screened),early-band median trans rank (screened),early-band median ctl rank,"collapse layer (per-layer median > 10^4, L >= 9)",Notes
water,5,32,65,9,Five clean translations; no homograph drops.
brother,5,20,65,10,Five clean translations; no homograph drops; de:Bruder kept as weak binder.
stone,5,27,65,9,"Five clean translations; fr:pierre kept (mild name-overlap only, not a homograph)."
fear,5,26,65,10,Five clean translations; de:Angst kept as weak binder.
dog,4,39,65,9,Four screened translations; it:cane dropped (English homograph). See Table 6.
bread,2,17,65,10,"Two screened translations (de:Brot, pt:pão); es:pan, fr:pain, it:pane dropped (English homographs). See Table 6."
